course_name,year,nr_students
Projet programmation système,2016-2017,120
Discrete optimization,2014-2015,120
Biological chemistry II,2008-2009,120
Biological chemistry III,2016-2017,120
Gestion du projet d'architecture,2018-2019,120
Mécanique analytique (pour SPH),2019-2020,120
TP en salle blanche,2004-2005,120
Mécanique vibratoire,2018-2019,120
Histoire de l'architecture V,2011-2012,120
Analyse structurale,2016-2017,120
Biologie cellulaire et moléculaire II,2016-2017,120
Pattern classification and machine learning,2014-2015,119
Systèmes multivariables,2012-2013,119
Heat and mass transfer,2018-2019,119
Transportation systems engineering,2014-2015,119
Graph theory,2014-2015,119
Astrophysique I : introduction à l'astrophysique,2019-2020,119
Automatique II + TP,2011-2012,119
Histoire des mathématiques,2011-2012,119
Biological chemistry II (for SV),2016-2017,119
Physique du bâtiment VI,2005-2006,119
Théorie de l'architecture V,2012-2013,119
Biological chemistry III,2014-2015,119
Techniques de mesure,2019-2020,119
A Political History of Urban Form,2018-2019,119
Introduction to database systems,2016-2017,118
Biologie cellulaire et moléculaire I,2016-2017,118
Structural mechanics,2013-2014,118
Projets en informatique (pour SV),2016-2017,118
Modélisation et représentation informatique II,2016-2017,118
Image processing I,2016-2017,118
Ouvrages hydrauliques et aménagements hydroélectriques,2015-2016,118
Chimie organique (EPFL),2006-2007,118
Biologie cellulaire et moléculaire II,2014-2015,118
Arts et histoires de l'environnement I,2013-2014,118
Arts et histoires de l'environnement I,2016-2017,118
Méthode des éléments finis,2018-2019,118
Bases de la robotique,2015-2016,117
Théorie de l'architecture VI,2011-2012,117
Circuits and systems II,2013-2014,117
Esthétique des ouvrages de génie civil,2014-2015,117
Informatique du temps réel,2005-2006,117
Technologie des microstructures I,2017-2018,117
Histoire des mathématiques,2012-2013,117
Electronique,2018-2019,117
Histoire de l'architecture V,2016-2017,117
Physique du bâtiment VI,2013-2014,117
Analyse structurale,2018-2019,117
Software engineering,2019-2020,117
Circuits et systèmes électroniques I,2012-2013,117
Construction et durabilité V,2016-2017,117
Distributed algorithms,2010-2011,117
Programmation Internet,2004-2005,116
Capteurs,2018-2019,116
Signaux et systèmes I (pour MT),2018-2019,116
Introduction au marketing et à la finance,2005-2006,116
Systèmes électriques et électroniques I,2015-2016,116
Superstudio,2016-2017,116
Bases de données,2004-2005,116
Histoire de l'architecture VI,2011-2012,116
Database systems,2015-2016,115
Figuration expressive,2016-2017,115
Control systems + TP,2012-2013,115
Distributed information systems,2011-2012,115
Physiologie par systèmes II,2015-2016,115
Histoire de l'architecture V,2004-2005,115
Caractères architecturaux et urbanismes de l'Islam,2018-2019,115
Modélisation et représentation informatique I,2013-2014,115
Dynamique des structures,2015-2016,115
Etudes d'impact,2011-2012,115
Heat and mass transfer,2015-2016,115
Structures VI,2004-2005,115
Circuits et systèmes I,2011-2012,115
Théorie de l'architecture VI,2016-2017,115
Concurrence,2006-2007,114
Mécanique des fluides (pour GC),2009-2010,114
TP en salle blanche,2008-2009,114
Fluid mechanics for SV,2019-2020,114
Signaux et systèmes II (pour MT),2018-2019,114
Probabilités,2014-2015,114
Informatique théorique,2012-2013,114
Magma et principes,2019-2020,114
TCP/IP networking,2015-2016,114
Théorie de l'information,2005-2006,114
Physique numérique I,2019-2020,114
Mécanique des structures II,2012-2013,114
Initiation à l'électronique,2019-2020,114
Théorie de l'architecture III,2004-2005,114
Biologie II,2010-2011,113
Projet programmation système,2017-2018,113
Thermodynamique et énergétique I,2012-2013,113
Technologie des microstructures I,2018-2019,113
Biochimie I,2018-2019,113
Arts et histoires de l'environnement II,2016-2017,113
Histoire de l'architecture VI,2016-2017,113
Théorie de l'architecture VII,2010-2011,113
Théorie de l'architecture V,2011-2012,113
Modélisation mathématique et computationnelle en biologie,2015-2016,113
Arts et histoires de l'environnement II,2013-2014,113
Théorie de l'architecture VII,2007-2008,113
Concurrence,2011-2012,113
Mécanique des milieux continus,2011-2012,113
Microinformatique (pour MT),2017-2018,113
Architecture autonome,2017-2018,113
Physics of manufacturing I,2017-2018,113
Distributed information systems,2017-2018,113
Construction V,2004-2005,113
Art du volume,2011-2012,113
Construction et durabilité VI,2016-2017,112
Equilibres et réactivité chimiques,2016-2017,112
Gestion du projet d'architecture I,2012-2013,112
Mathematical methods for physicists,2019-2020,112
Construction et durabilité V,2013-2014,112
Biological chemistry II,2006-2007,112
Ingénierie optique I,2018-2019,112
Art du volume,2012-2013,112
Géométrie II,2016-2017,112
"Droit de l'architecte I, introduction : contrats et concours",2012-2013,112
Figuration expressive,2018-2019,112
Physique IV,2019-2020,112
Histoire de l'architecture V,2012-2013,112
Modèles stochastiques pour les communications,2018-2019,112
Critique du projet et des théories urbanistiques,2017-2018,112
Histoire de l'architecture VI,2004-2005,112
Management de projet et analyse du risque,2019-2020,112
Energétique du bâtiment,2014-2015,111
Capteurs,2019-2020,111
Software engineering,2016-2017,111
Théorie de l'architecture VI,2012-2013,111
Cohérences aventureuses,2015-2016,111
Sécurité des réseaux,2013-2014,111
Composants semiconducteurs,2018-2019,111
Sécurité des réseaux,2017-2018,111
Méthodes de séparation analytiques,2011-2012,111
Biological chemistry II,2007-2008,111
Physique du bâtiment V,2011-2012,111
Construction et durabilité VI,2013-2014,111
Programmation orientée système,2011-2012,111
Information security and privacy,2019-2020,111
Conversion électromécanique II,2017-2018,111
Ouvrages géotechniques,2014-2015,111
Biochimie I,2013-2014,111
Distributed algorithms,2013-2014,111
Structural mechanics,2012-2013,110
Physique générale I (anglais),2012-2013,110
Solid mechanics,2018-2019,110
Systèmes dynamiques,2012-2013,110
Modélisation et représentation informatique I,2010-2011,110
Physique numérique II,2019-2020,110
Mechanical design principles,2018-2019,110
Histoire de l'architecture VI,2012-2013,110
Méthodes de séparation analytiques,2010-2011,110
Biologie moléculaire I,2006-2007,110
Products design & systems engineering,2017-2018,110
Physique du bâtiment V,2016-2017,110
Mécanique des structures (pour GM),2011-2012,110
Conversion électromécanique II,2019-2020,110
Dynamique des structures,2016-2017,109
Hydrology for engineer,2014-2015,109
Ouvrages et aménagements hydrauliques,2015-2016,109
Introduction to database systems,2014-2015,109
Programmation III,2005-2006,109
Physique du bâtiment V,2012-2013,109
Biological chemistry I,2019-2020,109
Ouvrages hydrauliques et aménagements hydroélectriques,2016-2017,109
Distributed algorithms,2011-2012,109
Introduction à l'optimisation différentiable,2010-2011,109
Physique du bâtiment V,2010-2011,109
Energétique du bâtiment,2015-2016,109
Théorie de l'architecture III,2008-2009,109
"Droit de l'architecte, introduction : contrats et concours",2017-2018,109
Digital photography,2011-2012,109
Structures VI,2008-2009,108
Fundamentals of microfabrication,2019-2020,108
Physique du bâtiment VI,2016-2017,108
Mécanique analytique (pour SPH),2015-2016,108
Signaux et systèmes I (pour SV),2017-2018,108
Architecture des systems-on-chip,2015-2016,108
Physiologie par systèmes I,2017-2018,108
Modélisation et représentation informatique II,2011-2012,108
Gestion du projet d'architecture I,2011-2012,108
Théorie de l'architecture VI,2008-2009,108
Travaux pratiques de physiologie I,2015-2016,108
Architecture des systems-on-chip,2017-2018,108
Conversion électromécanique TP,2017-2018,108
Mécanique des structures (pour GC),2014-2015,108
Modélisation et représentation informatique II,2013-2014,108
Ouvrages et aménagements hydrauliques,2012-2013,108
Database systems,2019-2020,108
Concevoir dans le construit : outils et méthodes,2018-2019,108
Construction VI,2004-2005,108
Structures en métal,2014-2015,107
Informatique théorique,2010-2011,107
Automatique II + TP,2010-2011,107
Biochimie I,2017-2018,107
Thermodynamique et énergétique I,2011-2012,107
Computer networks,2006-2007,107
Génétique,2006-2007,107
Physique quantique I,2019-2020,107
Systèmes électriques et électroniques II,2015-2016,107
Procédés de production,2012-2013,107
Structures V,2008-2009,107
Automatique II + TP,2009-2010,107
Systèmes d'exploitation,2005-2006,107
Théorie de l'espace I,2005-2006,107
Signaux et systèmes II (pour SV),2017-2018,107
Signaux et systèmes II (pour SV),2015-2016,107
Electromagnétisme I : lignes et ondes,2005-2006,107
Théorie du territoire II,2004-2005,107
Théorie du territoire I,2004-2005,107
Caractères architecturaux et urbanismes de l'Islam,2017-2018,107
Electromagnétisme II : calcul des champs,2005-2006,107
Méthodes de séparation analytiques,2019-2020,107
Analyse structurale,2009-2010,107
Théorie de l'architecture VII,2014-2015,107
Software engineering,2014-2015,107
Automatique + TP,2016-2017,107
Algorithmique,2007-2008,107
Systèmes électriques et électroniques II,2017-2018,106
Systèmes dynamiques,2011-2012,106
Sécurité et fiabilité,2014-2015,106
Optimisation discrète,2010-2011,106
Biologie cellulaire et moléculaire II,2019-2020,106
Arts et histoires de l'environnement I,2014-2015,106
Travaux pratiques de physiologie I,2017-2018,106
Software engineering,2018-2019,106
Gestion du projet d'architecture,2017-2018,106
Machines électriques (pour GM),2018-2019,106
Superstudio,2014-2015,106
Physique IV,2015-2016,106
Conversion électromécanique II,2018-2019,106
Construction et durabilité V,2011-2012,106
Numerical analysis,2012-2013,106
Machines électriques (pour GM),2017-2018,106
Data visualization,2017-2018,106
Théorie de l'architecture V,2008-2009,106
Théorie de l'architecture V,2015-2016,106
Construction et durabilité VI,2015-2016,106
Signaux et systèmes I (pour SV),2015-2016,106
Théorie de l'architecture VI,2014-2015,106
Méthodes de conception,2011-2012,105
Chimie analytique expérimentale,2010-2011,105
Modélisation mathématique et computationnelle en biologie,2017-2018,105
Modélisation numérique des solides et structures,2014-2015,105
Travaux pratiques de physiologie II,2015-2016,105
"Droit de l'architecte I, introduction : contrats et concours",2011-2012,105
Biological chemistry II,2019-2020,105
Physique du bâtiment VI,2011-2012,105
Modélisation et représentation informatique I,2006-2007,105
Automatique II + TP,2007-2008,105
Théorie de l'architecture V,2014-2015,105
Systèmes électriques et électroniques I,2017-2018,105
Travaux pratiques de physiologie II,2017-2018,105
Introduction to database systems,2019-2020,105
Théorie de l'architecture V,2010-2011,105
Eléments constructifs et matériaux VI,2008-2009,105
Circuits and systems II,2014-2015,105
Information security and privacy,2016-2017,105
Arts et histoires de l'environnement I,2015-2016,105
Procédés de production,2011-2012,105
Mathematical methods for physicists,2015-2016,105
Mathématiques discrètes,2006-2007,105
Statique II,2014-2015,105
Heat and mass transfer,2017-2018,105
Chimie organique (EPFL),2005-2006,105
Capteurs I,2005-2006,105
Eléments constructifs et matériaux V,2008-2009,105
Incompressible fluid mechanics,2016-2017,105
Construction et durabilité V,2015-2016,105
Architecture des systems-on-chip,2016-2017,105
Construction et durabilité VI,2011-2012,104
Fluid mechanics for SV,2015-2016,104
Cellular and molecular biology I,2019-2020,104
Histoire de l'architecture VI,2015-2016,104
Histoire des mathématiques I,2009-2010,104
TP en salle blanche,2006-2007,104
Control systems + TP,2017-2018,104
Mécanique des sols et écoulements souterrains,2010-2011,104
Control systems + TP,2015-2016,104
Histoire de l'architecture VI,2008-2009,104
Physique du bâtiment VI,2008-2009,104
Electronique II,2009-2010,104
Interaction sol-structure,2014-2015,104
Théorie de l'architecture VII,2015-2016,104
Quantum chemistry,2013-2014,104
Histoire de l'architecture V,2015-2016,104
Structures V,2010-2011,104
Algorithms,2008-2009,104
Intelligence artificielle,2019-2020,104
Écoulement des fluides,2012-2013,104
Applied biostatistics,2018-2019,104
Applied machine learning,2017-2018,104
Physique du bâtiment VI,2012-2013,104
Distributed information systems,2014-2015,104
Heat and mass transfer,2016-2017,103
Composants semiconducteurs,2017-2018,103
Arts et histoires de l'environnement II,2015-2016,103
Circuits and systems II,2012-2013,103
Histoire de l'architecture V,2008-2009,103
Architecture des ordinateurs II,2004-2005,103
Histoire de l'architecture V,2006-2007,103
Théorie des groupes,2018-2019,103
Eléments constructifs et matériaux VII,2008-2009,103
Cohérences aventureuses,2016-2017,103
Mécanique des fluides (pour GC),2008-2009,103
Construction et durabilité V,2014-2015,103
TP en salle blanche,2010-2011,103
Art et histoire des jardins,2010-2011,103
Structures en béton,2010-2011,103
Algorithmique,2006-2007,103
Histoire de l'architecture V,2014-2015,103
Probabilities and statistics I,2019-2020,103
Méthodes de conception,2012-2013,103
Fundamentals of traffic operations and control,2015-2016,103
Industrialisation,2005-2006,103
Distributed information systems,2013-2014,103
Biochemical engineering,2010-2011,103
Modélisation et représentation informatique I,2011-2012,103
Topologie I,2014-2015,103
Cellular and molecular biology I,2017-2018,103
Histoire de l'architecture VII,2007-2008,103
Cryptography and security,2010-2011,103
Physiologie par systèmes II,2017-2018,103
Théorie de l'architecture VII,2013-2014,102
Physique du bâtiment VI,2015-2016,102
Mécanique vibratoire,2016-2017,102
Physique du bâtiment VI,2018-2019,102
Écoulement des fluides,2011-2012,102
Réseaux informatiques,2010-2011,102
Théorie de l'architecture VII,2008-2009,102
"Droit de l'architecte I, introduction : contrats et concours",2009-2010,102
Projet de conception,2014-2015,102
Signaux et systèmes I (pour MT),2019-2020,102
Circuits et systèmes électroniques I,2013-2014,102
Physique du bâtiment V,2015-2016,102
Optimisation I,2005-2006,102
Figuration expressive,2015-2016,102
Figuration expressive,2014-2015,102
Introduction to cellular and molecular biotechnology,2006-2007,102
Probabilités,2018-2019,102
Physique quantique II,2019-2020,101
Ouvrages et aménagements hydrauliques,2010-2011,101
Cryptography and security,2004-2005,101
Systèmes mécaniques,2011-2012,101
Construction et durabilité V,2018-2019,101
Signal processing for communications,2018-2019,101
